trade_date,symbol,name,period,period_label,close,ma20,ma30,dev20_pct,dev30_pct,source
20200630,000001.SH,上证综指,month,月K,2984.674,,,,,公开指数日线计算（月K最后实际交易日）
20200703,000001.SH,上证综指,week,周K,3152.813,2890.39565,,9.07894218564853,,公开指数日线计算（周K最后实际交易日）
20200710,000001.SH,上证综指,week,周K,3383.322,2907.5783,,16.362197365415753,,公开指数日线计算（周K最后实际交易日）
20200717,000001.SH,上证综指,week,周K,3214.129,2924.26955,,9.91220012532703,,公开指数日线计算（周K最后实际交易日）
20200724,000001.SH,上证综指,week,周K,3196.768,2932.3824,,9.016068299959779,,公开指数日线计算（周K最后实际交易日）
20200731,000001.SH,上证综指,week,周K,3310.007,2953.5114000000003,2964.4404,12.070229354794426,11.657060131821172,公开指数日线计算（周K最后实际交易日）
20200731,000001.SH,上证综指,month,月K,3310.007,,,,,公开指数日线计算（月K最后实际交易日）
20200807,000001.SH,上证综指,week,周K,3354.035,2983.9322500000003,2973.4487000000004,12.403188778833684,12.799491042169308,公开指数日线计算（周K最后实际交易日）
20200814,000001.SH,上证综指,week,周K,3360.099,3013.32705,2982.3756333333336,11.507942690787587,12.66518417213911,公开指数日线计算（周K最后实际交易日）
20200821,000001.SH,上证综指,week,周K,3380.683,3044.16185,2992.548533333333,11.054640540876637,12.970030806295153,公开指数日线计算（周K最后实际交易日）
20200828,000001.SH,上证综指,week,周K,3403.807,3074.52065,3006.791166666667,10.71016875427393,13.20397098856272,公开指数日线计算（周K最后实际交易日）
20200831,000001.SH,上证综指,month,月K,3395.678,,,,,公开指数日线计算（月K最后实际交易日）
20200904,000001.SH,上证综指,week,周K,3355.367,3100.36425,3022.771266666666,8.224928732164294,11.003006975784203,公开指数日线计算（周K最后实际交易日）
20200911,000001.SH,上证综指,week,周K,3260.346,3122.9551,3034.2158666666664,4.399387618477113,7.45267124259541,公开指数日线计算（周K最后实际交易日）
20200918,000001.SH,上证综指,week,周K,3338.09,3146.8555,3044.163233333333,6.077002900196726,9.655420689935191,公开指数日线计算（周K最后实际交易日）
20200925,000001.SH,上证综指,week,周K,3219.418,3163.0592,3055.4670333333333,1.7817813843003627,5.365823452783447,公开指数日线计算（周K最后实际交易日）
20200930,000001.SH,上证综指,week,周K,3218.052,3180.53885,3061.5850666666665,1.1794589460839333,5.110651179902992,公开指数日线计算（周K最后实际交易日）
20200930,000001.SH,上证综指,month,月K,3218.052,,,,,公开指数日线计算（月K最后实际交易日）
20201009,000001.SH,上证综指,week,周K,3272.076,3203.4543999999996,3074.4067,2.142112589459688,6.429510448308617,公开指数日线计算（周K最后实际交易日）
20201016,000001.SH,上证综指,week,周K,3336.358,3227.65475,3094.0980333333337,3.3678710525033795,7.8297443732147975,公开指数日线计算（周K最后实际交易日）
