code,exchange,name,source,updated_at
688143,SH,长盈通,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688338,SH,赛科希德,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688196,SH,卓越新能,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600611,SH,大众交通,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000025,SZ,特  力Ａ,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
003032,SZ,传智教育,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600039,SH,四川路桥,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688816,SH,易思维,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600185,SH,珠免集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301359,SZ,东南电子,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600722,SH,金牛化工,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601952,SH,苏垦农发,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605089,SH,味知香,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603132,SH,金徽股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601933,SH,永辉超市,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301172,SZ,君逸数码,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300081,SZ,ST恒信,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600359,SH,新农开发,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300785,SZ,值得买,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300773,SZ,拉卡拉,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300426,SZ,华智数媒,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301507,SZ,民生健康,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688648,SH,中邮科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600018,SH,上港集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603151,SH,邦基科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301052,SZ,果麦文化,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300758,SZ,七彩化学,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300695,SZ,兆丰股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600499,SH,科达制造,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002995,SZ,天地在线,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300562,SZ,乐心医疗,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603369,SH,今世缘,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301376,SZ,致欧科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600598,SH,北大荒,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603188,SH,亚邦股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300418,SZ,昆仑万维,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300180,SZ,华峰超纤,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300511,SZ,雪榕生物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002920,SZ,德赛西威,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300829,SZ,金丹科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603893,SH,瑞芯微,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300781,SZ,因赛集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603093,SH,南华期货,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002688,SZ,金河生物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002785,SZ,万里石,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002712,SZ,思美传媒,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603758,SH,秦安股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
600969,SH,郴电国际,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301556,SZ,托普云农,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300753,SZ,爱朋医疗,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002354,SZ,天娱数科,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301208,SZ,中亦科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
301117,SZ,ST佳缘,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601606,SH,长城军工,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000949,SZ,新乡化纤,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000526,SZ,学大教育,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603395,SH,红四方,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300459,SZ,汤姆猫,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603029,SH,天鹅股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688543,SH,国科军工,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601512,SH,中新集团,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603990,SH,麦迪科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000061,SZ,农 产 品,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300483,SZ,首华燃气,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300677,SZ,英科医疗,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002320,SZ,海峡股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000731,SZ,四川美丰,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603599,SH,广信股份,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002421,SZ,达实智能,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603598,SH,引力传媒,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300678,SZ,中科信息,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
601116,SH,三江购物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002729,SZ,好利科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000802,SZ,北京文化,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002620,SZ,*ST瑞和,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603048,SH,浙江黎明,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002670,SZ,国盛证券,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603276,SH,恒兴新材,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
605166,SH,聚合顺,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
688569,SH,铁科轨道,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
002379,SZ,宏桥控股,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
300313,SZ,天山生物,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
603970,SH,中农立华,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
000930,SZ,中粮科技,东方财富行情中心代码列表,2026-09-01T13:25:41+08:00
